prefix,k,support,dH,pred_next
3-2,2,161,3.383666,2
4-14,2,160,3.389276,4
2-3,2,150,3.313928,3
2-4,2,145,3.323246,4
4-6,2,144,3.033342,6
14-4,2,143,3.391560,4
6-10,2,143,2.685424,6
4-2,2,135,3.327529,2
6-4,2,135,2.807767,4
10-6,2,135,2.768428,6
1-10,2,134,3.255842,1
10-1,2,130,3.256807,1
12-5,2,127,3.216045,5
5-12,2,119,3.375711,5
6-14,2,118,3.157447,6
8-6,2,117,2.305636,6
6-8,2,115,2.184124,6
10-14,2,112,3.516160,10
8-7,2,110,3.160315,7
14-10,2,108,3.231815,10
6-12,2,108,2.835395,6
14-6,2,105,3.000758,6
3-8,2,102,3.338710,8
4-8,2,100,3.249576,4
1-12,2,100,3.173176,12
8-4,2,98,3.452001,4
12-6,2,97,2.417429,6
12-1,2,94,3.077366,1
8-3,2,88,3.137614,3
12-14,2,87,3.552357,12
7-8,2,85,3.320699,7
14-12,2,76,3.460715,12
8-5,2,76,3.239650,5
12-2,2,72,3.173465,2
5-8,2,71,3.272731,5
8-1,2,67,3.534468,8
2-12,2,65,3.174128,2
1-8,2,55,3.120415,1
2-6,2,52,2.799347,6
6-2,2,51,2.738788,6
8-10,2,50,3.553786,10
10-8,2,48,3.098210,10
2-8,2,46,3.012132,8
8-2,2,41,2.699097,8
14-8,2,38,3.327040,15
8-14,2,36,3.328795,8
12-8,2,30,2.894740,12
8-12,2,29,3.029721,12
9-9-9,3,13684,0.437926,9
7-7-7,3,10341,0.467989,7
15-15-15,3,10131,0.431873,15
5-5-5,3,8536,0.446282,5
0-0-0,3,8451,0.474125,0
3-3-3,3,5715,0.523976,3
2-2-2,3,5514,0.410564,2
14-14-14,3,1646,0.751451,14
13-9-13,3,1554,0.451529,13
13-13-15,3,1106,0.422219,13
13-15-13,3,1010,0.491236,13
13-13-7,3,1009,0.412907,13
8-8-8,3,1007,0.479891,8
13-7-13,3,992,0.454519,13
13-5-13,3,978,0.404348,13
7-7-9,3,780,0.434087,7
7-9-7,3,749,0.409493,7
13-13-0,3,721,0.565603,13
13-0-13,3,670,0.467280,13
13-13-4,3,620,0.549388,13
5-13-5,3,619,0.431161,5
7-7-15,3,551,0.443661,7
13-13-3,3,519,0.405729,13
13-13-1,3,460,0.505959,13
13-3-13,3,451,0.780544,13
13-1-13,3,445,0.497713,13
9-11-9,3,428,0.425644,9
9-5-9,3,422,0.457840,9
13-13-2,3,418,0.547067,13
4-4-13,3,416,0.439784,4
13-2-13,3,410,0.606262,13
13-10-13,3,401,0.472788,13
13-13-10,3,389,0.643115,13
4-13-4,3,387,0.601601,4
0-13-0,3,386,0.479590,0
13-14-13,3,376,0.617941,13
11-11-0,3,374,0.508416,11
13-13-14,3,374,0.477961,13
11-7-11,3,373,0.621859,11
