user_id,rank,business_id,distance_km
1032462,1,236963743,0.05378578520844553
1032462,2,4035538,0.05402944286807075
1032462,3,389366621145232,0.07295902235853245
1032462,4,337584215,0.0753730384012671
1032462,5,203019463412448,0.0797975284509355
1032462,6,332267086,0.08300800577632901
1032462,7,1019490114,0.08416934388428068
1032462,8,337343792,0.08710367151946544
1032462,9,577831856,0.0980972671265642
1032462,10,304785979874958,0.0980972671265642
1032462,11,800245683486490,0.09948626380101509
1032462,12,168168897242101,0.10311744848659868
1032462,13,248562850,0.10696932047065216
1032462,14,258885642,0.10696932047065216
1032462,15,139721519896769,0.1111125501754881
1032462,16,2938429,0.11375085550324636
1032462,17,940424,0.12079266112280544
1032462,18,3701407,0.12427743911440814
1032462,19,246928456,0.12469724063645944
1032462,20,630632491,0.12591214154629837
1314449,1,305685809,0.027237015950733853
1314449,2,386245647,1.9621960789123225
1314449,3,829787775,2.2574515807071456
1314449,4,1025879446,2.455710773845804
1314449,5,7019658,2.6399754586277564
1314449,6,301246324,2.663544713482968
1314449,7,242234781,2.8665273293719435
1314449,8,946608740,2.9507950848941236
1314449,9,301944156,3.0086690604911097
1314449,10,1033263568,3.076308921253398
1314449,11,860246016,3.1568257684914376
1314449,12,1577477292549412,3.17154394528698
1314449,13,1307912,3.1738432138814017
1314449,14,264899105,3.2386175308803224
1314449,15,941082482,3.306716897163233
1314449,16,320208574,3.3271330260540313
1314449,17,833764851,3.3939777295281734
1314449,18,1031260755,3.5206146711689383
1314449,19,897157692,3.533298675959971
1314449,20,378732175860789,3.5451874044342575
2162346,1,35235238,0.05489075998159018
2162346,2,134961039919952,0.05489075998159018
2162346,3,279973,0.1051787259179662
2162346,4,174526983,0.10670397332299006
2162346,5,10498137,0.11899350035974458
2162346,6,16391358,0.13925286965544614
2162346,7,310387290,0.1912051033860385
2162346,8,709568685854487,0.20502212740633136
2162346,9,117466732196943,0.23239369009178756
2162346,10,251923428,0.3526933213248305
2162346,11,460747747,0.4372726786890561
2162346,12,82474849,0.5334713194937883
2162346,13,659586124191405,0.5949515643866543
2162346,14,143828,0.6121840355192701
2162346,15,1640356,0.7219357808967083
2162346,16,611512209,0.787370155318426
2162346,17,454780394,0.801776110886895
2162346,18,440715622,0.8165416290535158
2162346,19,1008772793,0.8218773866622971
2162346,20,521050077,0.8883375419591398
2320574,1,478738820,0.07485403982428712
2320574,2,11461921,0.08431703819806462
2320574,3,49555512,0.10174193911292094
2320574,4,1117249,0.10719340289029736
2320574,5,1009887609,0.13479438389253692
2320574,6,259959771,0.13804286829139958
2320574,7,577606616,0.15363797042613142
2320574,8,697782305,0.169177211403608
2320574,9,2512429,0.18154376460444796
