user_id,rank,business_id,distance_km
1032462,1,284859528667353,0.0
1032462,2,236963743,0.05378578520844553
1032462,3,4035538,0.05402944286807075
1032462,4,332267086,0.08300800577632901
1032462,5,337343792,0.08710367151946544
1032462,6,304785979874958,0.0980972671265642
1032462,7,258885642,0.10696932047065216
1032462,8,248562850,0.10696932047065216
1032462,9,1921136,0.13522282252391418
1032462,10,125542070856142,0.14174943642077448
1032462,11,314330528,0.15503019487831787
1032462,12,215787346,0.17091035574671423
1032462,13,377824407,0.17768782182136106
1032462,14,1016287349,0.19424044373399046
1032462,15,11099349,0.21048774835502798
1032462,16,103028102,0.21162763937061924
1032462,17,265725615,0.22724305361022426
1032462,18,563287,0.25976340876222875
1032462,19,105235980202268,0.2956344978340403
1032462,20,1772133283016461,0.301238040147493
1314449,1,301246324,2.663544713482968
1314449,2,946608740,2.9507950848941236
1314449,3,1033263568,3.076308921253398
1314449,4,1577477292549412,3.17154394528698
1314449,5,1307912,3.1738432138814017
1314449,6,320208574,3.3271330260540313
1314449,7,1031260755,3.5206146711689383
1314449,8,512363851,3.661164618250897
1314449,9,1021606572,3.7096957349870716
1314449,10,1505771,3.7096957349870716
1314449,11,776638344,3.7267396551206495
1314449,12,268418482,3.8249691425055654
1314449,13,403910383,3.8944227541425835
1314449,14,706326195,4.334320836075183
1314449,15,219537284,4.520369056497525
1314449,16,327007386,7.864548371753282
1314449,17,379684242,11.630935738632047
1314449,18,205148186713852,11.900975834627118
1314449,19,1013615618,14.50945729922419
1314449,20,619655142,16.115449524974398
2162346,1,2759276,0.0
2162346,2,1640356,0.7219357808967083
2162346,3,180504651,0.9014627283212818
2162346,4,617873241,0.9379682292711186
2162346,5,592000173,1.7529533419828134
2162346,6,861295,2.082880490030272
2162346,7,251150979,2.433201147945437
2162346,8,214530662,2.8979692793956873
2162346,9,1018676524,3.057692377226233
2162346,10,685752676,3.6016398131674454
2162346,11,333473363,4.4254818836828145
2162346,12,339071343,6.5796146331330085
2162346,13,531239130371076,7.152952198921997
2162346,14,8731576,7.155537363927748
2162346,15,798260733691862,7.155924662460121
2162346,16,267406373,7.284040873941338
2162346,17,1669298346732688,8.175301832842283
2162346,18,1030061748,9.425981319549932
2162346,19,271113028,9.612106029193725
2162346,20,697782305,10.021105938468516
2320574,1,480568,0.7271890104933678
2320574,2,287750362,1.20227963541838
2320574,3,1031175098,1.6744899150887589
2320574,4,71750015016,2.2858183724394254
2320574,5,369191535,3.7418041593409694
2320574,6,52098850,4.139995717519824
2320574,7,943842715,5.512863967801807
2320574,8,1024852730,6.428888079866694
2320574,9,861660251,6.706045269240944
2320574,10,3954935,9.214976056502392
2320574,11,26989129,9.44386657393152
2320574,12,440715622,9.73662430831332
2320574,13,611512209,9.75579815907813
2320574,14,460747747,9.89226852053549
2320574,15,1017878602,9.95634002522975
2320574,16,10498137,10.107583741529005
2320574,17,279973,10.155413570466399
2320574,18,273468259,10.253554012796634
2320574,19,82474849,10.59291053632142
2320574,20,724669677706292,10.609260503848867
3308384,1,273674039,0.0
3308384,2,537065240,0.2711163428435366
3308384,3,328934247,3.0093800838004032
3308384,4,1025878626,3.251013184681111
3308384,5,279252235839267,4.419276647551602
3308384,6,542495176,4.70380541672176
3308384,7,883671083,6.422962102286791
3308384,8,267679113,6.786644283132917
3308384,9,130040713714533,6.8243039894683495
3308384,10,488771831,7.392558884729729
3308384,11,249200948,7.866196229957206
3308384,12,72407015,8.596025755343996
3308384,13,269011579,8.744530055132623
3308384,14,269185435,9.01846546048232
3308384,15,1025694758,9.377140192656928
3308384,16,289745496,9.948193651916462
3308384,17,304705896,10.212436378139044
3308384,18,619017735,10.251807502334902
3308384,19,288808391,10.50523188658889
3308384,20,304020104,11.228612194283098
4161560,1,222115095,0.0
4161560,2,905389650,0.4792078984556437
4161560,3,474820932,0.6972697434096454
4161560,4,252132029,0.707138269874962
4161560,5,485207102,0.7108347266939221
4161560,6,252042492,0.7126926266102438
4161560,7,943104325,0.8506335661348823
4161560,8,724212881,0.883106393514134
4161560,9,309687258,0.9718291465270771
4161560,10,353074559,1.1600483772195458
4161560,11,743242645837956,1.184354674329759
4161560,12,576820535723433,1.8882608907736913
4161560,13,391456586,2.156248695815661
4161560,14,115269871974693,2.5649862419119516
4161560,15,298995974,3.5166887386012746
4161560,16,11910942,3.8421358533996695
4161560,17,295175579,4.7126712394697465
4161560,18,320085862,5.640126544967208
4161560,19,107645539,6.558328289055791
4161560,20,1028186504,9.316709583050738
4210712,1,261776947,0.0
4210712,2,292035415,0.7737577277326656
4210712,3,242177397,3.851966566805867
4210712,4,106690653,4.660070638989821
4210712,5,228375554,5.127401844746203
4210712,6,1033498384,5.545961182229455
4210712,7,4199999,5.771295659582389
4210712,8,259673895,6.01298834510973
4210712,9,254727056,7.278455515601926
4210712,10,302332233,7.309181051029478
4210712,11,260179362,7.770168035986983
4210712,12,64766293,8.244822846018085
4210712,13,236963743,8.469373900238944
4210712,14,294838352,9.352861722269825
4210712,15,286317470,10.159734505447306
4210712,16,258024170,11.277607811728702
4210712,17,383653256,11.613502750391106
4210712,18,1031227100,11.803715011866759
4210712,19,578199043,12.409531173808904
4210712,20,266051404,12.45911259862605
4241007,1,338281013,0.0
4241007,2,245171442619073,0.06997955619801137
4241007,3,288293981,0.09273024665601694
4241007,4,1024927630,0.1262619886366422
4241007,5,1562170,0.12907158602880672
4241007,6,1029769301,0.13971106221338844
4241007,7,259697677772197,0.14078618403096838
4241007,8,255280920,0.14656026733137964
4241007,9,298923498,0.1550660475932995
4241007,10,251113636,0.16658463738238405
4241007,11,713328159,0.18605799813811327
4241007,12,252682388,0.2179477493934821
4241007,13,798154054,0.26137445797634073
4241007,14,1030533239,0.2933949556781944
4241007,15,245234294,0.31407075901702647
4241007,16,829688115,0.3435841253959034
4241007,17,782949032,0.35392069197112036
4241007,18,306577561,0.9908032364759427
4241007,19,482141074,1.829392508956123
4241007,20,3200658,1.8851331554220887
5071896,1,523303019,0.1424301063500749
5071896,2,325559876,9.49833151835002
5071896,3,227561433,11.839614203851271
5071896,4,499903477,16.725395788329767
5071896,5,394307340,17.687783071714676
5071896,6,242940904,18.38427147530067
5071896,7,90554219,19.5333795962855
5071896,8,1020388256,19.83507756028996
5071896,9,265866416,20.516202241254284
5071896,10,1035104595,21.084698927799984
5071896,11,291595591,21.709056844721104
5071896,12,296768096,22.471486021228102
5071896,13,488384521,25.09382393942815
5071896,14,1024210503,25.595697125096176
5071896,15,28294912,28.448622911410524
5071896,16,248017567,28.608483206539283
5071896,17,60282854,29.825917215826383
5071896,18,362666571,31.07668338960988
5071896,19,568913396,31.103440829568886
5071896,20,293497187,31.81722235630625
5289066,1,219537284,0.0
5289066,2,403910383,0.654022472300602
5289066,3,302037288,0.7073650532780039
5289066,4,268418482,0.709655733992269
5289066,5,1021606572,0.8127053169106353
5289066,6,1505771,0.8127053169106353
5289066,7,776638344,0.9959683900085278
5289066,8,1307912,1.4027709191919149
5289066,9,1577477292549412,1.4060651370997128
5289066,10,1025879446,2.065440650225062
5289066,11,320208574,2.070645071731246
5289066,12,1031260755,2.328866047884843
5289066,13,946608740,2.414337050510372
5289066,14,327007386,4.658155992316662
5289066,15,292174638,11.263337257771738
5289066,16,252288814,12.442289984098934
5289066,17,1026495249,13.026760687023911
5289066,18,436884853,13.183522690019789
5289066,19,1015121528,14.104254154988883
5289066,20,977001486,15.588584014742866
5875534,1,1015674559,0.0
5875534,2,267638375,0.0
5875534,3,122303754475437,0.1267999381723607
5875534,4,92079386,0.2832873923390577
5875534,5,1034202835,0.30817314529413475
5875534,6,752417204816592,0.5972344601640927
5875534,7,92032719,1.0822464529383733
5875534,8,579153954,1.6626246952154824
5875534,9,242329378,2.0159692390879465
5875534,10,277667392,2.0563662169496046
5875534,11,1016952917,2.071103110267829
5875534,12,275074235,2.1241990085637306
5875534,13,75509641,2.23206353657721
5875534,14,488410600,2.2536004745056104
5875534,15,14491617,2.2562574776903412
5875534,16,394430149,2.2976189171467927
5875534,17,125189484849816,2.401805724569564
5875534,18,7295151,2.419899529687109
5875534,19,265702900,2.577487691238255
5875534,20,466163473433804,2.6856115966543004
6624488,1,502145796,0.0
6624488,2,1022545288,1.4429318979358823
6624488,3,1029041530,1.4584300660302498
6624488,4,811218594,1.8705233684930054
6624488,5,1015417819,2.0411404503807438
6624488,6,269066093,2.1161434815592086
6624488,7,789381109,2.1206536657490145
6624488,8,397739070601118,2.156855275957241
6624488,9,717749541719841,2.378657020790241
6624488,10,267272593,2.492322503240633
6624488,11,1016145891,3.4385807043091847
6624488,12,242374376,4.008715441525501
6624488,13,311928548890165,4.163237732517994
6624488,14,1416811,4.4306169420969095
6624488,15,645737275620588,4.475842575964421
6624488,16,255782717,5.533226162521832
6624488,17,251080848,5.57645167801971
6624488,18,1019408072,5.633385567448186
6624488,19,9840967,7.095139613855399
6624488,20,539408199465266,7.179968392892577
8790558,1,776294720,0.08264312275983132
8790558,2,291854334575332,0.08900638954114415
8790558,3,304110050058021,0.09485105408587624
8790558,4,449484245388282,0.11594673988145719
8790558,5,3234013,0.1447710240069674
8790558,6,252110941,0.1566076027506211
8790558,7,567971989908735,0.18862119403639785
8790558,8,226550174,0.22373968984727732
8790558,9,245498961,0.290993658523256
8790558,10,2719012,0.3695216204863126
8790558,11,253681793,0.48292298102896664
8790558,12,403494969,0.5359738951351832
8790558,13,1754311,0.6166290577309481
8790558,14,1810848,0.8442124737986128
8790558,15,19064800,1.0109428611753712
8790558,16,391378403,1.1545509114282446
8790558,17,1258001,1.7812171136056123
8790558,18,219004891612274,3.009940279819695
8790558,19,1026573469,4.017568974357387
8790558,20,1005525766,4.060794366136775
9127373,1,288273480,0.5479168457481578
9127373,2,1024090956,1.057745258966607
9127373,3,596341970,1.125098207833894
9127373,4,323656453,2.2505690207815854
9127373,5,778275706,2.553653877515713
9127373,6,3180339,2.6248629594086834
9127373,7,288771565,2.8061511880759107
9127373,8,324596157,3.0180572879052656
9127373,9,255855350,3.485083076114076
